"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2014","49.85","47.97","50.33","47.65","37.72M","2.61%"
"12/21/2014","48.58","48.54","49.48","47.47","30.58M","-0.02%"
"12/14/2014","48.59","48.06","48.93","45.08","79.89M","1.70%"
"12/07/2014","47.78","49.88","49.98","46.98","69.64M","-4.69%"
"11/30/2014","50.13","49.29","51.14","48.23","61.86M","1.25%"
"11/23/2014","49.51","51.51","51.92","49.14","62.73M","-3.81%"
"11/16/2014","51.47","55.05","55.64","51.36","74.97M","-6.67%"
"11/09/2014","55.15","54.71","56.30","53.86","57.00M","0.49%"
"11/02/2014","54.88","56.18","56.50","53.77","61.94M","-2.19%"
"10/26/2014","56.11","54.84","56.25","53.51","70.34M","2.02%"
"10/19/2014","55.00","50.86","55.29","50.78","119.70M","7.82%"
"10/12/2014","51.01","64.46","64.64","47.29","268.41M","-21.01%"
"10/05/2014","64.58","66.00","66.86","64.48","75.87M","-1.63%"
"09/28/2014","65.65","63.44","65.80","62.47","71.16M","2.40%"
"09/21/2014","64.11","65.18","65.28","62.70","57.47M","-1.91%"
"09/14/2014","65.36","68.22","68.22","63.66","82.19M","-4.00%"
"09/07/2014","68.08","67.77","69.90","67.74","57.84M","0.19%"
"08/31/2014","67.95","68.36","69.66","67.15","48.98M","-0.41%"
"08/24/2014","68.23","68.79","69.33","67.26","51.50M","-0.34%"
"08/17/2014","68.46","66.01","68.51","65.89","62.10M","4.39%"
"08/10/2014","65.58","64.17","66.00","63.34","61.90M","2.97%"
"08/03/2014","63.69","61.03","64.42","60.04","80.04M","4.80%"
"07/27/2014","60.77","60.32","62.18","58.93","69.33M","0.83%"
"07/20/2014","60.27","64.53","65.36","59.86","139.38M","-5.01%"
"07/13/2014","63.45","63.33","65.10","62.25","69.46M","0.95%"
"07/06/2014","62.85","67.44","67.46","61.17","104.19M","-6.86%"
"06/29/2014","67.48","63.27","67.98","62.81","77.34M","6.86%"
"06/22/2014","63.15","62.77","64.28","61.90","76.69M","0.43%"
"06/15/2014","62.88","60.93","64.40","60.49","90.94M","2.91%"
"06/08/2014","61.10","61.36","62.29","59.60","85.03M","-0.57%"
"06/01/2014","61.45","59.93","62.13","58.93","89.77M","2.95%"
"05/25/2014","59.69","57.43","60.25","56.16","98.75M","3.84%"
"05/18/2014","57.48","49.57","57.50","49.51","149.60M","15.01%"
"05/11/2014","49.98","47.27","50.63","47.22","104.59M","6.48%"
"05/04/2014","46.94","48.30","49.67","44.91","107.89M","-3.53%"
"04/27/2014","48.66","45.44","49.38","42.79","157.14M","5.76%"
"04/20/2014","46.01","49.90","54.41","46.00","216.72M","-6.84%"
"04/13/2014","49.39","47.56","49.96","44.59","97.09M","5.83%"
"04/06/2014","46.67","48.64","51.07","46.23","138.76M","-3.15%"
"03/30/2014","48.19","51.64","53.01","47.98","124.67M","-6.01%"
"03/23/2014","51.27","57.93","58.06","50.82","153.42M","-11.60%"
"03/16/2014","58.00","61.17","61.74","57.96","77.26M","-4.35%"
"03/09/2014","60.64","64.07","64.11","60.43","64.46M","-5.32%"
"03/02/2014","64.05","63.03","65.43","62.59","60.22M","0.61%"
"02/23/2014","63.66","62.21","65.40","61.21","85.95M","3.09%"
"02/16/2014","61.75","62.42","63.03","61.14","57.11M","-0.76%"
"02/09/2014","62.22","61.35","62.78","60.61","74.03M","1.29%"
"02/02/2014","61.43","58.84","61.50","56.72","101.00M","5.04%"
"01/26/2014","58.48","55.34","58.91","52.94","147.42M","6.04%"
"01/19/2014","55.15","47.46","56.52","45.75","201.65M","16.97%"
"01/12/2014","47.15","47.30","49.81","45.58","125.07M","-0.63%"
"01/05/2014","47.45","51.89","52.04","47.22","105.00M","-8.52%"
"12/29/2013","51.87","52.52","52.79","51.29","48.76M","-1.20%"
"12/22/2013","52.50","54.10","54.85","52.26","47.47M","-2.18%"
"12/15/2013","53.67","52.85","54.27","52.04","85.01M","1.82%"
"12/08/2013","52.71","50.74","53.86","50.47","85.12M","4.11%"
"12/01/2013","50.63","52.13","52.66","50.29","70.36M","-3.12%"
"11/24/2013","52.26","49.56","52.54","49.29","53.90M","5.17%"
"11/17/2013","49.69","50.00","50.09","47.75","87.04M","-0.56%"
"11/10/2013","49.97","47.54","49.98","46.95","81.38M","4.45%"
"11/03/2013","47.84","47.28","49.20","46.45","99.57M","1.70%"
"10/27/2013","47.04","46.43","47.64","44.17","127.43M","0.38%"
"10/20/2013","46.86","48.99","55.59","45.29","362.26M","-1.64%"
"10/13/2013","47.64","44.37","48.07","43.71","136.23M","10.84%"
"10/06/2013","42.98","46.29","46.71","40.40","135.25M","-8.06%"
"09/29/2013","46.75","43.96","47.79","43.60","114.41M","4.75%"
"09/22/2013","44.63","45.77","45.77","42.79","86.32M","-0.45%"
"09/15/2013","44.83","44.29","45.13","42.53","94.36M","2.68%"
"09/08/2013","43.66","41.82","44.88","41.47","117.53M","4.83%"
"09/01/2013","41.65","41.06","42.70","40.65","76.53M","2.69%"
"08/25/2013","40.56","39.44","41.46","39.15","107.80M","1.99%"
"08/18/2013","39.77","36.86","39.77","36.82","99.32M","7.54%"
"08/11/2013","36.98","35.90","37.68","35.77","95.17M","2.41%"
"08/04/2013","36.11","34.84","36.80","34.48","86.89M","2.67%"
"07/28/2013","35.17","35.15","35.81","34.54","65.37M","-0.06%"
"07/21/2013","35.19","38.12","38.39","34.27","195.09M","-6.90%"
"07/14/2013","37.80","37.06","38.62","36.02","112.16M","2.86%"
"07/07/2013","36.75","32.43","36.78","32.22","137.85M","14.27%"
"06/30/2013","32.16","30.52","32.50","30.29","60.85M","6.63%"
"06/23/2013","30.16","30.43","31.30","29.65","95.58M","-2.68%"
"06/16/2013","30.99","32.22","33.70","30.60","120.24M","1.37%"
"06/09/2013","30.57","31.86","31.90","29.39","78.16M","-2.83%"
"06/02/2013","31.46","32.44","32.57","30.57","118.78M","-2.66%"
"05/26/2013","32.32","33.11","33.71","29.99","123.19M","-1.10%"
"05/19/2013","32.68","34.06","34.52","31.65","76.11M","-4.28%"
"05/12/2013","34.14","31.02","35.55","31.02","164.21M","9.77%"
"05/05/2013","31.10","29.95","31.39","29.15","121.44M","2.00%"
"04/28/2013","30.49","30.94","31.39","30.03","98.01M","-0.97%"
"04/21/2013","30.79","23.67","32.04","23.67","297.74M","31.92%"
"04/14/2013","23.34","25.08","26.05","23.11","147.14M","-5.66%"
"04/07/2013","24.74","23.69","25.38","22.71","166.45M","5.19%"
"03/31/2013","23.52","27.28","27.36","23.22","197.64M","-13.02%"
"03/24/2013","27.04","26.06","28.15","25.68","121.94M","4.40%"
"03/17/2013","25.90","25.91","26.77","25.61","82.12M","-1.93%"
"03/10/2013","26.41","26.29","27.88","25.57","145.24M","0.08%"
"03/03/2013","26.39","26.95","27.15","25.17","149.90M","-2.44%"
"02/24/2013","27.05","25.86","27.45","25.06","164.50M","5.29%"
"02/17/2013","25.69","27.29","28.23","25.49","145.04M","-5.10%"
"02/10/2013","27.07","25.57","27.14","24.97","163.36M","4.72%"
"02/03/2013","25.85","23.25","26.98","23.25","254.08M","9.81%"
"01/27/2013","23.54","24.64","25.32","22.38","302.90M","-2.81%"
"01/20/2013","24.22","14.24","24.67","13.80","407.27M","70.92%"
"01/13/2013","14.17","14.43","14.93","13.68","120.84M","-2.07%"
"01/06/2013","14.47","13.77","14.56","13.51","146.50M","5.54%"
"12/30/2012","13.71","12.77","13.99","12.72","83.27M","7.45%"
"12/23/2012","12.76","13.08","13.27","12.65","48.42M","-2.22%"
"12/16/2012","13.05","13.28","13.97","13.02","126.78M","-2.10%"
"12/09/2012","13.33","12.29","13.53","12.06","141.89M","8.55%"
"12/02/2012","12.28","11.69","12.83","10.64","263.34M","5.23%"
"11/25/2012","11.67","11.80","11.94","11.33","70.04M","-1.52%"
