"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2016","38.93","38.89","39.61","38.65","114.05M","0.46%"
"10/02/2016","38.75","38.71","39.10","38.48","118.90M","-0.28%"
"09/25/2016","38.86","39.14","39.30","38.65","133.93M","-1.22%"
"09/18/2016","39.34","38.62","39.49","38.22","124.35M","2.34%"
"09/11/2016","38.44","37.76","38.69","37.70","143.93M","1.21%"
"09/04/2016","37.98","38.67","39.14","37.98","109.85M","-1.53%"
"08/28/2016","38.57","38.44","38.75","38.22","104.48M","0.23%"
"08/21/2016","38.48","38.66","38.82","38.16","100.90M","-0.75%"
"08/14/2016","38.77","39.19","39.37","38.66","89.43M","-1.00%"
"08/07/2016","39.16","39.10","39.49","38.90","98.57M","0.13%"
"07/31/2016","39.11","38.05","39.15","38.05","174.28M","1.74%"
"07/24/2016","38.44","37.03","38.93","36.71","222.07M","3.50%"
