"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2003","2.46","2.60","2.61","2.35","1.07B","-3.53%"
"12/07/2003","2.55","2.58","2.61","2.42","874.66M","-1.16%"
"11/30/2003","2.58","2.72","2.74","2.54","943.07M","-4.44%"
"11/23/2003","2.70","2.46","2.70","2.43","747.08M","11.11%"
"11/16/2003","2.43","2.60","2.61","2.38","1.23B","-7.25%"
"11/09/2003","2.62","2.70","2.76","2.54","896.61M","-3.68%"
"11/02/2003","2.72","2.74","2.87","2.70","776.03M","0.00%"
"10/26/2003","2.72","2.75","2.88","2.72","840.18M","-0.37%"
"10/19/2003","2.73","2.98","3.06","2.65","1.73B","-8.39%"
"10/12/2003","2.98","2.90","3.02","2.87","1.02B","2.76%"
